MIEJSCOWOŚĆ 	 WIELKOŚĆ 	 ODLEGŁOŚĆ DO MORZA 	 NAZWA 	 DATA 	 CENA ZA CAŁOŚĆ 	 CENA ZA DZIEŃ 	 NR TELEFONU 	 LINK 
Chłopy 	 0 	 2.41 km 	 Pokoje Morska 	 17.08.2020 - 26.08.2020 	 € 511.20 	 56.80 	 --- 	 https://www.booking.com/hotel/pl/pokoje-morska.html?label=gen173nr-1FCAEoggI46AdIM1gEaDuIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4As6CqPkFwAIB0gIkZjA2YWM2M2MtOTA1ZC00MGI5LWJkOTEtNzgzMWRmMjk0Mjdj2AIF4AIB&sid=91d85ca6437c62a00f320cc6d104bafa&age=15&age=15&all_sr_blocks=248415904_202674345_6_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=-496827&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=4&group_children=2&hapos=2&highlighted_blocks=248415904_202674345_6_0_0&hpos=2&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=248415904_202674345_6_0_0__225719&srepoch=1596588396&srpvid=ac42057565e70146&ucfs=1&from=searchresults#hotelTmpl 
Darłowo 	 14398 	 3.10 km 	 pokoje gościnne u znajomej 	 17.08.2020 - 26.08.2020 	 Rp 10,423,797 	 1158199.67 	 --- 	 https://www.booking.com/hotel/pl/pokoje-goscinne-u-znajomej.html?label=gen173nr-1FCAEoggI46AdIM1gEaN0BiAEBmAExuAEZyAEM2AEB6AEB-AECiAIBqAIDuAKekaj5BcACAdICJDg4OGNlODhjLWM4ZmQtNDQxNS04ZGE3LThmYjMxYmM1MDM0NtgCBeACAQ&sid=0964b383830715108053e934feec6e9a&age=15&age=15&all_sr_blocks=333888309_264244929_4_0_0%2C333888302_264244929_2_0_0&checkin=2020-08-16&checkout=2020-08-25&dest_id=-499051&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=4&group_children=2&hapos=6&highlighted_blocks=333888309_264244929_4_0_0%2C333888302_264244929_2_0_0&hpos=6&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=333888309_264244929_4_0_0__158399%2C333888302_264244929_2_0_0__98000&srepoch=1596590289&srpvid=eeac092845e5002f&ucfs=1&from=searchresults#hotelTmpl 
Darłowo 	 14398 	 3.10 km 	 Pokoje Gościnne na Podzamczu 	 17.08.2020 - 26.08.2020 	 $957.01 	 106.33 	 --- 	 https://www.booking.com/hotel/pl/old-town-apartments-darlowo.html?label=gen173nr-1FCAEoggI46AdIM1gEaN0BiAEBmAExuAEZyAEM2AEB6AEB-AECiAIBqAIDuAKekaj5BcACAdICJDg4OGNlODhjLWM4ZmQtNDQxNS04ZGE3LThmYjMxYmM1MDM0NtgCBeACAQ&sid=0964b383830715108053e934feec6e9a&age=15&age=15&all_sr_blocks=384990805_147081435_4_0_0%2C384990803_147081435_2_0_0&checkin=2020-08-16&checkout=2020-08-25&dest_id=-499051&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=4&group_children=2&hapos=12&highlighted_blocks=384990805_147081435_4_0_0%2C384990803_147081435_2_0_0&hpos=12&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=384990805_147081435_4_0_0__224999%2C384990803_147081435_2_0_0__135000&srepoch=1596590289&srpvid=eeac092845e5002f&ucfs=1&from=searchresults#hotelTmpl 
Darłowo 	 14398 	 3.10 km 	 Guesthouse Pokoje Pinokio 	 17.08.2020 - 26.08.2020 	 € 861.99 	 95.78 	 --- 	 https://www.booking.com/hotel/pl/pokoje-pinokio.html?label=gen173nr-1FCAEoggI46AdIM1gEaN0BiAEBmAExuAEZyAEM2AEB6AEB-AECiAIBqAIDuAKekaj5BcACAdICJDg4OGNlODhjLWM4ZmQtNDQxNS04ZGE3LThmYjMxYmM1MDM0NtgCBeACAQ&sid=0964b383830715108053e934feec6e9a&age=15&age=15&all_sr_blocks=659417304_270324104_4_0_0%2C659417303_270324104_2_0_0&checkin=2020-08-16&checkout=2020-08-25&dest_id=-499051&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=4&group_children=2&hapos=5&highlighted_blocks=659417304_270324104_4_0_0%2C659417303_270324104_2_0_0&hpos=5&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=659417304_270324104_4_0_0__243000%2C659417303_270324104_2_0_0__125999&srepoch=1596590289&srpvid=eeac092845e5002f&ucfs=1&from=searchresults#hotelTmpl 
Darłowo 	 14398 	 3.10 km 	 Pokoje na fali 	 17.08.2020 - 26.08.2020 	 € 875.58 	 97.29 	 --- 	 https://www.booking.com/hotel/pl/pokoje-na-fali.html?label=gen173nr-1FCAEoggI46AdIM1gEaN0BiAEBmAExuAEZyAEM2AEB6AEB-AECiAIBqAIDuAKekaj5BcACAdICJDg4OGNlODhjLWM4ZmQtNDQxNS04ZGE3LThmYjMxYmM1MDM0NtgCBeACAQ&sid=0964b383830715108053e934feec6e9a&age=15&age=15&all_sr_blocks=366852004_173838725_4_0_0%2C366852011_173838725_4_0_0&checkin=2020-08-16&checkout=2020-08-25&dest_id=-499051&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=4&group_children=2&hapos=3&highlighted_blocks=366852004_173838725_4_0_0%2C366852011_173838725_4_0_0&hpos=3&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=366852004_173838725_4_0_0__169000%2C366852011_173838725_4_0_0__206000&srepoch=1596590289&srpvid=eeac092845e5002f&ucfs=1&from=searchresults#hotelTmpl 
Darłowo 	 14398 	 3.10 km 	 ApartmentsWilla Izabela 	 17.08.2020 - 26.08.2020 	 € 678.54 	 75.39 	 --- 	 https://www.booking.com/hotel/pl/willa-izabela.html?label=gen173nr-1FCAEoggI46AdIM1gEaN0BiAEBmAExuAEZyAEM2AEB6AEB-AECiAIBqAIDuAKekaj5BcACAdICJDg4OGNlODhjLWM4ZmQtNDQxNS04ZGE3LThmYjMxYmM1MDM0NtgCBeACAQ&sid=0964b383830715108053e934feec6e9a&age=15&age=15&all_sr_blocks=109317601_184424718_6_0_0&checkin=2020-08-16&checkout=2020-08-25&dest_id=-499051&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=4&group_children=2&hapos=7&highlighted_blocks=109317601_184424718_6_0_0&hpos=7&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=109317601_184424718_6_0_0__288000&srepoch=1596590289&srpvid=eeac092845e5002f&ucfs=1&from=searchresults#hotelTmpl 
Darłowo 	 14398 	 3.10 km 	 U Jurka 	 17.08.2020 - 26.08.2020 	 HK$ 4,913.95 	 545.99 	 --- 	 https://www.booking.com/hotel/pl/u-jurka.html?label=gen173nr-1FCAEoggI46AdIM1gEaN0BiAEBmAExuAEZyAEM2AEB6AEB-AECiAIBqAIDuAKekaj5BcACAdICJDg4OGNlODhjLWM4ZmQtNDQxNS04ZGE3LThmYjMxYmM1MDM0NtgCBeACAQ&sid=0964b383830715108053e934feec6e9a&age=15&age=15&all_sr_blocks=343770103_146452882_4_0_0%2C343770101_146452882_2_0_0&checkin=2020-08-16&checkout=2020-08-25&dest_id=-499051&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=4&group_children=2&hapos=10&highlighted_blocks=343770103_146452882_4_0_0%2C343770101_146452882_2_0_0&hpos=10&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=343770103_146452882_4_0_0__144000%2C343770101_146452882_2_0_0__94499&srepoch=1596590289&srpvid=eeac092845e5002f&ucfs=1&from=searchresults#hotelTmpl 
Darłowo 	 14398 	 3.10 km 	 Pensjonat Bosman Darłówko 	 17.08.2020 - 26.08.2020 	 € 495.10 	 55.01 	 --- 	 https://www.booking.com/hotel/pl/pensjonat-bosman-darlowko.html?label=gen173nr-1FCAEoggI46AdIM1gEaN0BiAEBmAExuAEZyAEM2AEB6AEB-AECiAIBqAIDuAKekaj5BcACAdICJDg4OGNlODhjLWM4ZmQtNDQxNS04ZGE3LThmYjMxYmM1MDM0NtgCBeACAQ&sid=0964b383830715108053e934feec6e9a&age=15&age=15&all_sr_blocks=378989401_120674827_3_0_0%2C378989406_120674835_3_0_0&checkin=2020-08-16&checkout=2020-08-25&dest_id=-499051&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=4&group_children=2&hapos=11&highlighted_blocks=378989401_120674827_3_0_0%2C378989406_120674835_3_0_0&hpos=11&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=378989401_120674827_3_0_0__101500%2C378989406_120674835_3_0_0__105500&srepoch=1596590289&srpvid=eeac092845e5002f&ucfs=1&from=searchresults#hotelTmpl 
Darłowo 	 14398 	 3.10 km 	 Pokoje Klaudia 	 17.08.2020 - 26.08.2020 	 € 800.84 	 88.98 	 --- 	 https://www.booking.com/hotel/pl/pokoje-klaudia.html?label=gen173nr-1FCAEoggI46AdIM1gEaN0BiAEBmAExuAEZyAEM2AEB6AEB-AECiAIBqAIDuAKekaj5BcACAdICJDg4OGNlODhjLWM4ZmQtNDQxNS04ZGE3LThmYjMxYmM1MDM0NtgCBeACAQ&sid=0964b383830715108053e934feec6e9a&age=15&age=15&all_sr_blocks=103300802_236849073_4_2_0%2C103300804_236849073_3_2_0&checkin=2020-08-16&checkout=2020-08-25&dest_id=-499051&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=4&group_children=2&hapos=1&highlighted_blocks=103300802_236849073_4_2_0%2C103300804_236849073_3_2_0&hpos=1&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=103300802_236849073_4_2_0__162000%2C103300804_236849073_3_2_0__180000&srepoch=1596590289&srpvid=eeac092845e5002f&ucfs=1&from=searchresults#hotelTmpl 
Darłowo 	 14398 	 3.10 km 	 Pokoje Goscinne 	 17.08.2020 - 26.08.2020 	 $683.20 	 75.91 	 --- 	 https://www.booking.com/hotel/pl/pokoje-goscinne-darlowo.html?label=gen173nr-1FCAEoggI46AdIM1gEaN0BiAEBmAExuAEZyAEM2AEB6AEB-AECiAIBqAIDuAKekaj5BcACAdICJDg4OGNlODhjLWM4ZmQtNDQxNS04ZGE3LThmYjMxYmM1MDM0NtgCBeACAQ&sid=0964b383830715108053e934feec6e9a&age=15&age=15&all_sr_blocks=367263513_169620080_4_0_0%2C367263501_169620080_2_0_0&checkin=2020-08-16&checkout=2020-08-25&dest_id=-499051&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=4&group_children=2&hapos=2&highlighted_blocks=367263513_169620080_4_0_0%2C367263501_169620080_2_0_0&hpos=2&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=367263513_169620080_4_0_0__155000%2C367263501_169620080_2_0_0__102000&srepoch=1596590289&srpvid=eeac092845e5002f&ucfs=1&from=searchresults#hotelTmpl 
Darłowo 	 14398 	 3.10 km 	 Pokoje Gościnne Nina 	 17.08.2020 - 26.08.2020 	 € 769.13 	 85.46 	 --- 	 https://www.booking.com/hotel/pl/pokoje-goscinne-nina.html?label=gen173nr-1FCAEoggI46AdIM1gEaN0BiAEBmAExuAEZyAEM2AEB6AEB-AECiAIBqAIDuAKekaj5BcACAdICJDg4OGNlODhjLWM4ZmQtNDQxNS04ZGE3LThmYjMxYmM1MDM0NtgCBeACAQ&sid=0964b383830715108053e934feec6e9a&age=15&age=15&all_sr_blocks=655986901_268964834_3_0_0%2C655986901_268964834_3_0_0&checkin=2020-08-16&checkout=2020-08-25&dest_id=-499051&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=4&group_children=2&hapos=9&highlighted_blocks=655986901_268964834_3_0_0%2C655986901_268964834_3_0_0&hpos=9&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=655986901_268964834_3_0_0__164000%2C655986901_268964834_3_0_0__164000&srepoch=1596590289&srpvid=eeac092845e5002f&ucfs=1&from=searchresults#hotelTmpl 
Darłowo 	 14398 	 3.10 km 	 pokoje goscinne u Bozeny 	 17.08.2020 - 26.08.2020 	 € 608.34 	 67.59 	 --- 	 https://www.booking.com/hotel/pl/pokoje-goscinne-u-bozeny.html?label=gen173nr-1FCAEoggI46AdIM1gEaN0BiAEBmAExuAEZyAEM2AEB6AEB-AECiAIBqAIDuAKekaj5BcACAdICJDg4OGNlODhjLWM4ZmQtNDQxNS04ZGE3LThmYjMxYmM1MDM0NtgCBeACAQ&sid=0964b383830715108053e934feec6e9a&age=15&age=15&all_sr_blocks=374118406_173718353_4_0_0%2C374118408_173718353_2_0_0&checkin=2020-08-16&checkout=2020-08-25&dest_id=-499051&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=4&group_children=2&hapos=8&highlighted_blocks=374118406_173718353_4_0_0%2C374118408_173718353_2_0_0&hpos=8&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=374118406_173718353_4_0_0__160000%2C374118408_173718353_2_0_0__97000&srepoch=1596590289&srpvid=eeac092845e5002f&ucfs=1&from=searchresults#hotelTmpl 
